P05067	R-HSA-933542 R-HSA-445989
P19438	R-HSA-5357905 R-HSA-5357786 R-HSA-5357956 R-HSA-75893
Q9Y4K3	R-HSA-937041 R-HSA-446652 R-HSA-933542 R-HSA-168638 R-HSA-445989 R-HSA-975871 R-HSA-166058
Q9Y6K9	R-HSA-937041 R-HSA-5357905 R-HSA-446652 R-HSA-933542 R-HSA-168638 R-HSA-445989 R-HSA-5357956
Q13490	R-HSA-937041 R-HSA-5357905 R-HSA-168638 R-HSA-5357956
P21580	R-HSA-5357905 R-HSA-5357786 R-HSA-168638 R-HSA-5357956
P50570	R-HSA-166016
P58753	R-HSA-166016 R-HSA-166058
P14778	R-HSA-446652
Q86XR7	R-HSA-937041 R-HSA-166016 R-HSA-140534
P61073	R-HSA-173107
Q99836	R-HSA-446652 R-HSA-933542 R-HSA-445989 R-HSA-975871 R-HSA-166058
P51617	R-HSA-446652 R-HSA-168638 R-HSA-445989 R-HSA-975871 R-HSA-166058
Q9H0E2	R-HSA-446652
O00206	R-HSA-937041 R-HSA-166016 R-HSA-140534 R-HSA-166058
Q12933	R-HSA-5357905 R-HSA-140534 R-HSA-5357786 R-HSA-933542 R-HSA-5357956 R-HSA-75893
Q9ULZ3	R-HSA-5660668
P51681	R-HSA-173107
P01730	R-HSA-173107
P01584	R-HSA-446652 R-HSA-5660668
P01375	R-HSA-5357905 R-HSA-5357786 R-HSA-5357956 R-HSA-75893
Q14790	R-HSA-5357905 R-HSA-140534 R-HSA-5357786 R-HSA-168638 R-HSA-5660668
