GO:0055037	P02786 Q96CV9 P13569 Q9Y3R0
GO:0030426	P46940 Q5S007 P62158 Q8IXJ6 Q8IZP0 P25054
GO:0030424	P28482 P46940 Q03001 Q5S007 O95295 P25054 Q9NRI5
GO:0030175	Q9UQB8 P35609 Q8IZP0 Q8N8S7 P11532 Q9HD67
GO:0005901	Q13023 P12931 P28482 Q5S007
GO:0034704	Q13023 P17612 Q92736
GO:0005903	Q13045 P12814 P35579 O00159
GO:0045202	Q5S007 Q8IZP0 Q8N8S7 Q9Y3R0 P25054 P11532 Q00987 Q9NRI5 O95295
GO:0001726	P12814 P35579 P46940 Q9UQB8 O00159 Q9HD67
GO:0005819	P28482 P35579 P62158 Q13315 Q8IXJ6 P04792
GO:0043204	P28482 Q5S007 Q8IXJ6 P03372
GO:0031093	P02768 P12814 P35609 P02751
GO:0005730	P62993 P00519 Q15327 Q99459 Q9HD67 P01106 O00159 O95295 Q00987 P52272 Q06330 P49790
GO:0016023	P02786 Q03001 Q96CV9 Q13315 O00159 Q9Y3R0
GO:0031410	Q96CV9 Q13315 Q9H0R8 O00159 O95295 Q9Y3R0 P60520 P55735 Q5S007
GO:0044615	P49790 P49792
GO:0072562	P63104 P02786 P02751 P60709 P02768
GO:0005654	O43172 Q96CV9 P57740 O15198 Q15327 P25054 P17612 P55735 P52272 P62993 P00519 Q99459 Q13315 P01106 P03372 Q92769 P49790 P60709 O60341 Q00987 Q06330 P28482 Q9BX66 O00159 Q13045 P05412 O75190 P63104 P02545 P61962 P62158 Q13573 P15336 P28340 P43243
GO:0016459	O00159 P35579 Q96H55 Q9HD67 P12883
GO:0043005	P46940 Q9UQB8 Q5S007 P62158 P03372 P12931 Q8IZP0 Q9Y3R0 P25054 Q9HD67
GO:0048471	P02786 P02545 P00519 O75112 Q13023 Q96CV9 Q8IXJ6 P03372 P12931 O95295 Q99459 O75190 Q9NRI5
GO:0016363	P02545 P61962 Q9BX66 Q13573 P52272 P43243
GO:0016328	P25054 Q13813 O00159 P46940
GO:0032839	Q9H0R8 Q5S007 P28482
GO:0031143	P12814 P28482 P35609 O75112
GO:0031965	P02545 P00519 Q13023 P57740 P49790 P49792 P25054
GO:0031252	Q03001 P35579 Q8IZP0 P00519 P46940
GO:0000790	Q92769 O60341 P05412 P60709 P03372
GO:0005938	P25054 Q03001 P35579 Q9HD67 Q13813
GO:0005886	Q9UQB8 Q07157 Q92736 Q8IZP0 Q9NQC3 P30533 Q13642 P25054 P17612 Q00987 P04792 Q9HD67 P12814 P62993 P46940 P03372 P13569 P60709 Q8IXJ6 Q9BX66 Q03001 Q5S007 P51617 P12931 Q32MZ4 O00159 Q8N8S7 Q9Y3R0 P02786 P35579 P62158 Q13813 P11532 Q9NRI5
GO:0070062	P02768 Q9UQB8 Q92736 Q8IZP0 Q9NQC3 P17612 P55735 P04792 P35609 Q8WZ42 P12814 P62993 P46940 P52272 Q96FW1 P54920 P13569 P02751 P60709 P28482 Q03001 Q5S007 P12931 O00159 P63104 P02786 P35579 P62158 Q13813
GO:0043234	P02768 P28482 P35579 P46940 P61962 P01106 Q92736 P03372 Q92769 P13569 P49790 P60709 P25054 Q13813 P11532 O60341 Q00987
GO:0005643	P57740 P55735 O00159 P49790 P49792
GO:1990391	O60341 Q13315
GO:0005813	Q9BX66 P62158 P57740 Q8IXJ6 Q9BPU9 P25054 P17612 Q9NRI5
GO:0005634	O43172 P02768 Q96CV9 Q07157 O15198 Q8IZP0 Q15327 P17612 P25054 Q13642 P55735 P04792 Q8WZ42 P62993 P00519 Q99459 Q5T481 Q13315 P01106 P03372 Q96FW1 Q92769 Q9BPU9 P49790 Q5VWP3 P49792 O60341 Q00987 Q06330 Q8WWI1 P28482 Q9BX66 Q13023 Q03001 P51617 P57740 P12931 P52272 Q32MZ4 O00159 Q8IXJ6 Q13045 P05412 O75190 P63104 P35579 P02545 P61962 O95863 P62158 Q13573 P15336 P43243 P11532 P28340 Q9NRI5
GO:0071141	O15198 Q13573
GO:0005912	P25054 Q9BX66 Q0ZGT2 Q07157
