GO:0060002	Q96H55 Q9HD67
GO:0005080	P12931 P04792 P00519 O75112
GO:0008022	P00519 Q9UQB8 Q03001 Q96CV9 P12931 O00159 Q9Y3R0
GO:0019899	Q8WZ42 P02768 Q00987 P05412 Q92736 P03372 P12931 Q92769 P13569 O60341
GO:0048487	Q9H0R8 Q8IXJ6 P60520
GO:0034237	Q13023 P17612 Q92736
GO:0044325	P12814 Q13023 Q5S007 P62158 Q92736 P12931 Q13642 P35609
GO:0030957	Q9H0R8 P60709
GO:0031432	P62158 P35609 Q15327
GO:0000149	P54920 Q5S007 O95295 P60520
GO:0032403	P46940 Q13315 P03372 P12931 P01106 Q8IZP0 P49792 P25054 Q13813 Q9NRI5
GO:0008134	P63104 P28482 P05412 P01106 Q8IXJ6 P03372 P15336 Q92769 Q15327 O60341 Q06330
GO:0042802	Q8WZ42 P02786 P62993 P05412 Q5S007 Q9UQB8 Q96CV9 Q92736 P03372 P52179 Q00987 P49790 P60709 P0C862 P04792 P35609 P63104
GO:0005178	P12931 Q03001 P12814 P35609 P02751
GO:0044822	P63104 P02786 P62993 P05412 P52272 Q13573 Q92769 P35579 Q16891 Q9NQC3 P04792 Q99459 P43243
GO:0030235	P62158 P03372
GO:0051015	Q8WZ42 P12814 P35579 P00519 Q9HD67 Q0ZGT2
GO:0019901	Q8WZ42 P63104 P28482 P62993 P12931 P46940 Q9BX66 P62158 Q92736 P15336 P25054 P17612 P04792 Q99459
GO:0030898	P35579 O00159 Q9HD67 P12883
GO:0008179	Q13023 P62158
GO:0050998	P11532 P62158 P60709
GO:0031625	P63104 Q96FW1 Q9H0R8 P60520 P17612 Q00987
GO:0047485	P62158 Q13315 Q06330 Q13813
GO:0043495	Q13023 P35579 P49790
GO:0003774	O00159 P35579 Q96H55 Q9HD67 P12883
GO:0003682	P28340 P05412 Q8IXJ6 P03372 P15336 Q92769 P49790 O60341 Q06330
GO:0019904	P63104 P62993 P00519 P62158 Q07157 P12931 P35579 P52272 P35609 P46940
