hsa04530	Tight junction
hsa04510	Focal adhesion
hsa04012	ErbB signaling pathway
hsa05205	Proteoglycans in cancer
hsa05220	Chronic myeloid leukemia
hsa05203	Viral carcinogenesis
hsa04912	GnRH signaling pathway
hsa04722	Neurotrophin signaling pathway
hsa05169	Epstein-Barr virus infection
hsa04915	Estrogen signaling pathway
hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
hsa04919	Thyroid hormone signaling pathway
hsa05161	Hepatitis B
hsa04921	Oxytocin signaling pathway
hsa04810	Regulation of actin cytoskeleton
