O43172	GO:0010467
P02768	GO:0007596 GO:0043066 GO:0030168 GO:0002576
P45379	GO:0051764
Q9UQB8	GO:0048010 GO:0051764 GO:0008286 GO:0045087 GO:0007264 GO:0038096
Q99459	GO:0010467 GO:0000278 GO:0006974
P03372	GO:0010467 GO:0048146 GO:0045893
Q07157	GO:0006921 GO:0061024
Q92736	GO:0035994 GO:0060070 GO:0071872 GO:0055117 GO:0010881
Q96CV9	GO:0006914 GO:0000278 GO:0034613
Q8IZP0	GO:0048010 GO:0016032 GO:0045087 GO:0007264 GO:0038096
Q15327	GO:0071222 GO:0035994 GO:0000122 GO:0071456 GO:0071560
P60520	GO:0006914
P25054	GO:0006921 GO:0043066 GO:0006974 GO:0060070 GO:0051726
P17612	GO:0018105 GO:0007596 GO:2000810 GO:0008543 GO:0007173 GO:0000278 GO:0045087 GO:0043393 GO:0071872 GO:0048011 GO:0055117 GO:0060314 GO:0010881
P55735	GO:0051028 GO:0000278 GO:0007264 GO:0061024
P52272	GO:0071222 GO:0010467
P35609	GO:0000186 GO:0048010 GO:0007596 GO:0048041 GO:0007411 GO:0008543 GO:0007173 GO:0000165 GO:0008286 GO:0045087 GO:0048011 GO:0007265 GO:0007264 GO:0030168 GO:0002576
Q8WZ42	GO:0007596 GO:0030168 GO:0002576
P12814	GO:0007596 GO:0048041 GO:0051764 GO:0030168 GO:0002576
P62993	GO:0000186 GO:0048010 GO:0007596 GO:0007411 GO:0016032 GO:0008543 GO:0007173 GO:0000165 GO:0008286 GO:0045087 GO:0048011 GO:0007265 GO:0007264 GO:0030168 GO:0038096
P00519	GO:1903351 GO:0071222 GO:0007596 GO:0007411 GO:0007173 GO:0006914 GO:0045087 GO:0006974 GO:0007264 GO:0038096 GO:0051726
P04792	GO:0048010 GO:0010467 GO:0043066
Q13315	GO:0018105 GO:0034605 GO:0006974 GO:0051726 GO:1900034
P01106	GO:0000122 GO:0000165 GO:0010467 GO:0043066 GO:0006974 GO:0060070 GO:0048146 GO:0045893
Q9HD67	GO:0007411 GO:0045087 GO:0038096
Q96FW1	GO:0006974
P54920	GO:0061024
Q92769	GO:1903351 GO:0034605 GO:0007596 GO:0000122 GO:0010467 GO:0043066 GO:0048011 GO:0071560 GO:0045892 GO:0045893
Q9BPU9	GO:0000278 GO:0007264
P02751	GO:0071222 GO:0007596 GO:0043066 GO:0030168 GO:0036120 GO:0048146 GO:0071560 GO:0002576
P60709	GO:0048010 GO:0007596 GO:0007411 GO:0010467 GO:0045087 GO:0007264 GO:0038096 GO:0061024
