GO:1903351	Q92769 Q5S007 P00519
GO:0000186	P28482 P62993 Q5S007 P62158 Q13813 P35609
GO:0018105	P12931 P17612 P28482 Q13315 Q5S007
GO:0071222	P00519 P51617 P12931 P02751 P52272 Q15327
GO:0006921	P25054 Q13813 P02545 Q07157
GO:0034134	P15336 P28482 P05412 P51617
GO:0034605	P28482 Q13315 P57740 P51617 Q92769 P49790 P49792 O75190
GO:0007596	Q8WZ42 P02768 P12814 P62993 P00519 P62158 P28482 P12931 Q92769 P02751 P60709 P17612 O60341 P63104 P35609
GO:0038123	P15336 P28482 P05412 P51617
GO:2000810	O95863 P17612 O00159
GO:0045893	P28482 P05412 O95863 P01106 P51617 P03372 P12931 Q92769 Q9Y3R0
GO:0038124	P15336 P28482 P05412 P51617
GO:0048041	P12814 P35609 Q9BX66
GO:0045892	Q00987 P05412 O95863 Q13573 Q06330 P12931 Q92769 Q32MZ4 Q8IXJ6 O60341 O75190
GO:0007411	P28482 P35579 P00519 P62158 P35609 P12931 P62993 Q8N8S7 P60709 Q13813 Q9HD67
GO:0051028	P57740 P55735 O00159 P49790 P49792
GO:0008543	P28482 P62993 P46940 P62158 P12931 Q13813 P17612 Q00987 P35609
GO:0007265	P28482 P62993 P62158 P12931 Q13813 P35609
GO:0010881	P17612 P11532 P62158 Q92736
GO:0035994	P11532 P05412 Q15327 Q92736
GO:0000122	Q00987 O95863 P01106 Q13573 P15336 Q92769 Q15327 Q5VWP3 Q8IXJ6 O60341 Q06330
GO:0002576	Q8WZ42 P02768 P12814 P62158 P02751 P35609
GO:0000165	P28482 P62993 Q5S007 P62158 P01106 Q13813 P35609
GO:0015758	P57740 P49790 Q9BX66 P49792
GO:0036120	P12931 P02751 P46940
GO:0010467	P63104 O43172 P01106 P52272 Q99459 P57740 Q13573 P03372 Q92769 O00159 P49790 P60709 P49792 P04792 Q06330
GO:0043066	P63104 P02768 P05412 Q8IXJ6 P01106 P51617 P12931 Q92769 P02751 P25054 Q00987 P04792
GO:2000172	Q5S007 Q9NQC3
GO:0071456	P02545 Q8IXJ6 P12931 Q15327 P51617 Q00987
GO:0045087	P12931 P28482 P62993 P05412 P00519 Q9UQB8 P62158 P51617 Q9HD67 P15336 Q32MZ4 Q8IZP0 Q8IXJ6 P60709 P17612 O00159 Q00987 P35609 Q13813
GO:0008286	P28482 P62993 Q9BX66 Q9UQB8 P62158 Q13813 P35609
GO:0000278	P55735 P02545 Q96CV9 P57740 Q9BPU9 P49790 P49792 P17612 P28340 Q99459
GO:0006914	P00519 Q96CV9 Q8IXJ6 Q9H0R8 P60520 Q5S007
GO:0034613	Q96CV9 Q5S007 P11532 Q9NRI5
GO:0006974	Q96FW1 P28482 P00519 Q13315 P15336 P01106 P25054 Q99459
GO:0060070	P25054 Q5S007 Q9NRI5 Q92736 P01106
GO:0034146	P15336 P28482 P05412 P51617
GO:0051403	P15336 P28482 P05412 P51617
GO:0007173	P28482 P62993 P00519 P62158 P12931 Q13813 P17612 Q00987 P35609 P46940
GO:0071872	P17612 Q8IXJ6 Q92736
GO:0048011	P28482 P62993 P62158 P51617 P12931 Q92769 Q9NQC3 Q13813 P17612 Q00987 P35609
GO:0051764	Q9UQB8 P12814 P45379
GO:0048010	P28482 P62993 Q9UQB8 P62158 P12931 Q8IZP0 P60709 Q13813 P04792 P35609
GO:0007264	P63104 P28482 P62993 P00519 P13569 Q9UQB8 P62158 Q5S007 P55735 P57740 P12931 P35579 Q8IZP0 P60709 P49792 Q9BPU9 O60341 P35609 Q13813 P46940
GO:0007077	P57740 P02545 P49790 P49792
GO:0055117	P17612 P62158 Q92736
GO:0030168	Q8WZ42 P02768 P12814 P62993 P62158 P28482 P35609 P12931 P02751 P63104
GO:0038096	P28482 P62993 P00519 Q9UQB8 P12931 Q8IZP0 P60709 O00159 Q9HD67
GO:0034162	P15336 P28482 P05412 P51617
GO:0051090	P15336 P28482 P05412
GO:0060314	P17612 P11532 P62158
GO:0048146	P01106 P05412 P02751 P03372
GO:0051726	P05412 P00519 Q13315 Q8IXJ6 P12931 P25054
GO:1900034	P28482 Q13315 P57740 P49790 P49792 O75190
GO:0034166	P15336 P28482 P05412 P51617
GO:0071560	P12931 Q92769 P02751 Q15327
GO:0061024	P63104 P54920 P62158 Q07157 P12931 O00159 P60709 Q13813 P55735
GO:0016032	P02786 P28482 P62993 P57740 Q13573 P12931 Q8IZP0 P49790 P49792 Q00987 O95295
GO:0010880	Q13023 P11532 P62158
GO:0043393	P12931 P17612 O95295
GO:0043518	O95863 O60341 Q00987
