hf.14	hf.19	hf.21	hf.24	hf.26	hf.27	hf.8	hf.30	hf.32	hf.48
P00395	P00846	P00846	P00395	P00403	P00395	P00395	P00846	P00846	P00846
P00846	P00414	P00414	P00846	P10916	P00846	P00846	P00395	P00395	P00395
P00414	P00395	P00395	P00414	P00414	P00414	P00414	P00414	P00403	P00414
P03905	P00403	P03905	P03905	P00395	P03905	P03905	P03905	P00414	P00403
P00403	P03905	P03891	P00403	P63316	P00403	P00403	P00403	P10916	P03905
P03928	P03891	P03886	P03891	P00846	P00156	P03897	P03897	P03905	P03897
P03886	P03886	P00403	P00156	P03897	P03928	P03928	P10916	P03897	P10916
P00156	P03928	P00156	P03897	K7EN02	P03923	P00156	P00156	P00156	P03923
P03923	P00156	P03928	P03928	P01160	P03886	P03891	P03886	P03891	P00156
P10916	P03897	P03897	P03886	P03923	P03897	P03886	P03891	P03928	P03891
P03897	P03923	P03923	P10916	P17661	P03891	P03901	P03928	P03886	P03886
P03891	P01160	P03901	P03923	H0YL80	P03901	P03923	P03923	P03923	P03928
P03901	P03901	P03915	P03901	P03905	P10916	P03915	P03901	P19429	P19429
P03915	P10916	P10916	P03915	P19429	P03915	P10916	P03915	P63316	P63316
P19429	P03915	P19429	P19429	P08590	P01160	P19429	P19429	P12883	P03901
P12883	P16860	P02144	P12883	P00156	P17661	P63316	P17661	P03901	P03915
P63316	P17661	P12883	P02144	Q8WVH6	P02144	P17661	P12883	P17661	P12883
P02144	P63316	P17661	P63316	P12883	P12883	P12883	P63316	P68133	P17661
P17661	P02144	P63316	P17661	P03891	P63316	P02144	P02144	A0A024R3B9	P02144
P68133	P68133	E7EPW4	P68133	P16860	P19429	H0YL80	P68133	P02144	P68133
E7EPW4	P12883	P08590	P08590	A6NL76	J3KT40	P08590	Q15327	Q15327	J3KT40
J3KT40	P19429	A0A024R3B9	E7EPW4	O15273	P68133	E7EPW4	J3KT40	P03915	H0YL80
Q15327	Q15327	H0YL80	Q15327	A0A0A0MRJ5	E7EPW4	Q01449	A0A024R3B9	H0YL80	P08590
P08590	E7EPW4	J3KPG2	A0A024R3B9	K7ER11	H0YL80	A0A024R3B9	E7EPW4	E7EPW4	A0A024R3B9
A0A024R3B9	A0A024R3B9	P06732	J3KT40	G3V1V8	Q15327	Q8WVH6	P08590	J3KT40	E7EPW4
