Ecc_0	Ecc_3	Ecc_7
P62851	P62851	P62851
P18621	P18621	P18621
P05161	Q15365	P25398
P02462	P02462	P02462
Q16270	Q16270	Q16270
P62857	P62857	P62857
Q9Y3U8	P02461	P02461
P55899	Q9Y3U8	Q9Y3U8
P10321	P30101	P30101
P08572	P27797	P27797
P30050	P10321	P10321
P62913	P08572	P08572
P01906	O75506	P30050
P62917	P30050	P62913
P62753	P62913	P01906
P62750	P11940	P62917
P35443	P62917	Q6IS14
P36578	Q6IS14	P62753
P63313	P62753	P14618
P25963	P14618	P31949
P02792	P35443	Q16658
P00395	P31949	P08962
Q9UBR2	P08962	Q96BM0
P23396	Q96BM0	P39060
P17676	P39060	P63313
P35268	P63313	P25963
P27797	P02792	P02792
P06454	P01903	P04080
P07858	Q9ULZ1	P00395
P21673	P00395	Q9UBR2
P62745	P63173	P23396
P00403	P23396	P43308
P17813	P22626	P35268
O14604	P35268	P55899
O75293	P21810	P49207
P63244	P55899	P06454
P62987	P49207	P07858
P18146	P06454	P02545
P08670	P07858	Q9NPY3
P49207	P02545	P21673
P03897	Q9NPY3	P62745
P05067	P62745	P00403
Q96AP7	P00403	P17813
Q6PEY1	P17813	P68104
P55774	O14604	O14604
Q15599	P63244	O75293
P62979	P62987	P63244
P39019	P08670	P62987
P50895	O15143	P18146
P03905	O15144	P08670
O14543	P03891	O15143
P07355	P03897	O15144
P04792	P08253	P03891
Q02543	Q15599	P03897
P03886	P62979	P08253
P00414	P39019	P62979
P11940	P03905	P39019
Q99814	O14543	P03905
P21741	P07355	O14543
P00156	Q5JWF2	P07355
O43914	P62280	Q5JWF2
O00141	Q02543	P62280
P15328	P03886	Q02543
Q07352	P00414	P03886
P07900	Q16658	P00414
P39023	P21741	Q15365
P17275	P00156	P11940
P29972	Q15084	P21741
P03901	P07900	P00156
O60895	P39023	P15328
P13164	P17275	P07900
Q9Y287	P03901	P39023
P03891	O75531	P17275
Q01469	O60895	P03901
P28562	P13164	O60895
P08962	P09651	P13164
P05412	Q9Y287	P60842
P68104	Q01469	P09651
P0CG47	P01906	Q9Y287
P62888	P67936	Q01469
P04632	P05412	P67936
P63220	P62750	P05412
P61927	P07195	P62750
Q03135	P0CG47	P0CG47
B6SEH9	Q15370	P62888
P03915	P62888	P63220
O00468	P08493	P61927
P00846	P63220	P03915
O00585	P61927	Q03405
P09486	P03915	P26038
Q9H0Q3	P26038	P63173
P10451	P00846	P01137
P07333	Q6PEY1	P00846
O00182	O00585	O00585
P37802	P09486	P09486
P62266	P10451	P10451
P62273	Q92626	P07333
P08708	P08134	P07339
P61769	P62266	P62266
P62269	P08708	P02751
P04899	P61769	P08708
P03923	P24534	P61769
P25774	P62269	P24534
P84243	P04899	P62269
P98160	P03923	P04899
P62829	Q14019	P03923
Q92522	P62942	Q14019
Q9H4X1	P98160	P62942
P23528	P62829	P98160
Q71U36	P35579	P62829
A6ZKI3	P50914	P35579
P01903	Q9H4X1	P50914
P10301	P23528	Q9H4X1
P07602	P01036	P23528
P41134	A6ZKI3	P13236
P62701	P68104	A6ZKI3
P26641	P07602	P01903
Q13571	Q5U651	P07602
Q30154	P62701	P62701
P62324	P43308	Q13571
P02747	P62277	Q30154
P02746	P62273	P62324
P02745	Q02878	O43914
Q02878	P01033	P62273
Q14515	P27449	Q02878
P27449	P60842	P01033
P01036	P39059	P27449
P47974	Q9UHF1	P01036
Q9UHF1	P37802	P47974
Q9H3M7	P42677	P39059
P50914	P47914	P02649
P42677	P61353	P37802
P47914	Q71U36	P42677
P13236	P06733	P47914
Q9BTL4	P23284	Q71U36
P61513	P14174	P06733
Q9GZM7	P61513	P14174
Q9NZN4	P08123	P61513
P60660	Q9GZM7	P08123
Q5JWF2	Q9NZN4	P25774
P62280	P60660	Q9GZM7
P25398	P26641	P60660
P46783	P04792	P26641
P46782	P25398	P04792
P46781	P46783	P17676
P26373	P46782	P46783
O75807	P46781	P46782
P00746	P26373	P46781
P01100	P36578	P26373
P60709	P01100	O75807
P50454	P09382	P36578
P62249	P60709	P01100
P61952	P50454	P09382
P13639	P62249	P60709
Q08116	P61952	P50454
P12236	P13639	P62249
P42766	P12236	P13639
P46776	P42766	Q08116
Q01151	P46776	P12236
P16671	P46778	P42766
P15880	P04632	P46776
Q06481	P15880	Q01151
Q96BM0	Q06481	P04632
P18124	P28562	P15880
P05452	P22692	Q06481
P54368	P18124	P28562
P18848	P05452	P18124
P11021	P54368	P05452
P63261	P07437	P54368
P18847	P18848	P07437
P07737	O43707	P18848
	P11021	O43707
	P63261	P11021
	P07737	P63261
	Q969G5	P07737
