CM0	CM3	CM7
P62851	P62851	P62851
P18621	P18621	P18621
P02462	P17676	P02462
Q16270	P02462	Q16270
P62857	Q16270	P62857
P46783	P62857	P02461
Q9Y3U8	P02461	Q9Y3U8
P08574	P46783	P46782
P10321	Q9Y3U8	P10321
P30050	P30101	P08572
Q9UBY9	P27797	P51888
P35609	Q01995	P30050
P62917	Q8IV08	P07602
Q9UII2	P10321	P01906
P48735	P08572	P62917
P62750	P30050	P62753
P63316	P62913	P62750
P63313	P11940	P35443
O15273	P62917	Q92743
P02792	Q6IS14	P63316
P00395	P62753	P63313
P23396	P14618	O15273
P19429	P13284	P02792
P12235	P31949	P16860
P40926	P08962	O14558
P30049	P00338	P00395
P49207	Q92743	P17275
P48201	P63313	Q9UBR2
P17540	P25963	P23396
Q00325	P02792	P19429
Q01449	P04080	P12235
O14558	P00395	P35268
P00403	Q9UBR2	P49207
O14604	P23396	P06454
P63244	P35268	P07858
P62987	P55899	Q00325
P08670	P49207	P62745
P31930	P06454	P00403
P06307	P07858	O14604
P03891	P00403	P63244
O75251	O14604	P62987
Q14061	Q99538	P18146
P03897	P62987	P08670
O00483	P63244	P03891
P62979	P08670	P12109
P39019	O15143	P03897
O00168	O15144	O00483
Q9Y6M9	P03891	P62979
Q9NPC6	P12109	P39019
P04792	P03897	P03905
P25705	P08253	P07355
P54296	P62979	P08253
P03886	P39019	P62280
P62913	P39023	P03886
P00414	P07355	P62913
P02042	P17275	P00414
P56381	P62280	P14618
P14618	P09668	P00156
P14854	P03886	P12110
P62269	P00414	P15328
P00156	P00156	Q76M96
P03905	P12110	P39023
P17275	P15328	P21810
P03901	P40121	P03901
O60894	P03905	Q9Y287
P13164	P21810	P05496
P05496	P03901	P09493
P09493	P60842	P12883
P12883	P67936	P08962
P62753	P09382	P05412
P05412	P62750	P68104
P68104	P0CG47	P27449
P0CG47	P08493	P0CG47
Q15370	P63220	P18124
P15259	P61927	P08493
P63220	P03915	P63220
P55042	P16035	P61927
P03915	P00846	P03915
P42766	P18669	P42766
P02511	P09486	P00846
P00846	P10451	P09486
P09486	Q5JWF2	P10451
P60174	P07339	Q5JWF2
O95182	P37802	P07585
Q5JWF2	P62266	P07339
P68133	P02751	P68133
P62266	P61769	P62266
P61769	P62269	P02751
P68032	P04899	P61769
P03923	P03923	P68032
P56134	Q14019	P04899
P10606	P62829	P03923
P24844	P17931	P98160
P98160	P23528	P62829
P62829	P23284	P09382
Q96IX5	P68104	P23528
P07951	P07602	P01903
Q99798	P62701	Q9UBY9
P49821	Q13571	P62701
P62701	P11279	Q13571
Q14896	O43914	P17661
Q6PKH6	Q02878	P50461
P17661	P01033	Q02878
P50461	P27449	P62269
P62273	P01036	P07195
Q02878	P02649	P01036
Q02543	P50914	P45379
P07195	P42677	P02649
P45379	P47914	P50914
P50914	P13796	P42677
P42677	Q71U36	P47914
P47914	P06733	Q71U36
O14957	P62736	P06732
P06732	P14174	P62736
P56378	P13686	Q15327
Q15327	P08123	Q9NPC6
P61513	P25774	P08123
P13073	P60660	P26641
P26641	P26641	P04792
P62280	P25398	P25398
P25398	Q9HCJ1	P24310
P24310	P46782	Q01995
P46782	P46781	P46781
P46781	P26373	P26373
P26373	P36578	P36578
P36578	P01100	P01100
P01100	P60709	P60709
P60709	P50454	P50454
P62249	P62249	P62249
P13639	P13639	P13639
P12236	P12236	Q6UXB8
P10916	P42766	P12236
P46776	P46776	P10916
P09105	Q96CW1	P46776
P56385	Q96HF1	Q96HF1
P15880	P15880	P15880
P17568	P20908	P20908
Q96BM0	P28562	P28562
P07919	P18124	P13929
P13929	P28799	P06576
P06576	P54368	P54368
O95167	P07437	P63261
P63261	P06744	P08590
P08590	P63261	P07737
	Q02543	
	P07737	
