Ecc_0	Ecc_3	Ecc_7
P62851	P62851	P62851
P18621	P18621	P18621
P05161	Q15365	P25398
P02462	P02462	P02462
Q16270	Q16270	Q16270
P62857	P62857	P62857
Q9Y3U8	P02461	P02461
P55899	Q9Y3U8	Q9Y3U8
P10321	P30101	P30101
P08572	P27797	P27797
P30050	P10321	P10321
P62913	P08572	P08572
P01906	O75506	P30050
P62917	P30050	P62913
P62753	P62913	P01906
P62750	P11940	P62917
P36578	P62917	Q6IS14
P63313	Q6IS14	P62753
P25963	P62753	P14618
P02792	P14618	P31949
P00395	P31949	P08962
P23396	P08962	Q96BM0
P17676	Q96BM0	P63313
P35268	P63313	P25963
P06454	P02792	P02792
P07858	P01903	P04080
P21673	P00395	P00395
P62745	P63173	Q9UBR2
P00403	P23396	P23396
P17813	P35268	P35268
O14604	P55899	P55899
P63244	P49207	P49207
P62987	P06454	P06454
P18146	P07858	P07858
P08670	P02545	Q9NPY3
P49207	Q9NPY3	P21673
P03897	P62745	P62745
P05067	P00403	P00403
Q15599	P17813	P17813
P62979	O14604	P68104
P39019	P63244	O14604
P50895	P62987	P63244
P03905	P08670	P62987
O14543	O15143	P18146
P07355	P03891	P08670
P04792	P03897	O15143
Q02543	P08253	P03891
P03886	P62979	P03897
P00414	P39019	P62979
P00156	P03905	P39019
P15328	O14543	P03905
Q07352	P07355	O14543
P07900	Q5JWF2	P07355
P39023	P62280	Q5JWF2
P17275	Q02543	P62280
P29972	P03886	Q02543
P03901	P00414	P03886
O60895	Q16658	P00414
P13164	P21741	Q15365
Q9Y287	P00156	P11940
P03891	P39023	P21741
Q01469	P17275	P00156
P28562	P03901	P15328
P05412	O60895	P39023
P68104	P13164	P17275
P0CG47	P09651	P03901
P63220	Q01469	O60895
P61927	P67936	P13164
Q03135	P05412	P60842
B6SEH9	P62750	P09651
P03915	P0CG47	Q9Y287
P00846	Q15370	P67936
O00585	P62888	P05412
P09486	P08493	P62750
Q9H0Q3	P63220	P0CG47
P07333	P61927	P62888
O00182	P03915	P63220
P37802	P00846	P61927
P62266	O00585	P03915
P62273	P09486	P00846
P61769	P10451	O00585
P62269	P08134	P09486
P04899	P62266	P10451
P03923	P61769	P07333
P84243	P62269	P62266
P98160	P04899	P61769
P62829	P03923	P24534
Q9H4X1	P62942	P62269
P23528	P98160	P04899
Q71U36	P62829	P03923
A6ZKI3	P35579	Q14019
P01903	P50914	P98160
P07602	Q9H4X1	P62829
P62701	P23528	P35579
P26641	P01036	P50914
Q13571	P68104	Q9H4X1
Q30154	P07602	P23528
P62324	P62701	P01903
P02747	P62273	P07602
P02746	Q02878	P62701
P02745	P01033	Q13571
Q02878	P60842	Q30154
P01036	P39059	P62324
P47974	Q9UHF1	O43914
Q9UHF1	P37802	Q02878
Q9H3M7	P42677	P01033
P50914	P47914	P27449
P42677	Q71U36	P01036
P47914	P06733	P47974
P13236	P23284	P02649
Q9BTL4	P14174	P37802
Q9GZM7	P61513	P42677
Q5JWF2	P08123	P47914
P62280	Q9GZM7	Q71U36
P25398	Q9NZN4	P06733
P46783	P60660	P14174
P46782	P26641	P61513
P46781	P04792	P08123
P26373	P25398	P60660
O75807	P46783	P26641
P00746	P46782	P04792
P01100	P46781	P17676
P60709	P26373	P46783
P50454	P36578	P46782
P62249	P01100	P46781
P61952	P09382	P26373
P13639	P60709	P36578
P12236	P50454	P01100
P42766	P62249	P09382
P46776	P13639	P60709
Q01151	P12236	P50454
P16671	P42766	P62249
P15880	P46776	P13639
Q96BM0	P04632	Q08116
P18124	P15880	P12236
P05452	Q06481	P42766
P54368	P28562	P46776
P18848	P18124	P04632
P11021	P05452	P15880
P63261	P54368	P28562
P18847	P07437	P18124
P07737	P18848	P54368
	O43707	P07437
	P11021	P18848
	P63261	P11021
	P07737	P63261
	Q969G5	P07737
