O14558	O14558	O14558	O14558
O14561	O14561	O14561	O14561
G3XAN0	G3XAN0	Q16654	Q16654
E5RIP1	E5RIP1	P05141	G3XAN0
F8WER5	F8WER5	P20618	E5RIP1
H7C1Q3	B8ZZ51	G3XAN0	F8WER5
B8ZZ51	B9A041	E5RIP1	H7C1Q3
B9A041	P63313	F8WER5	B8ZZ51
P63313	P60520	H7C1Q3	B9A041
Q9Y5U8	H7C4C5	F8WFC2	P63313
J3QQ67	Q9Y5U8	B8ZZ51	Q9Y5U8
F2Z3P9	F8VVY4	B9A041	J3QQ67
P67809	J3QQ67	P08670	F2Z3P9
H3BR70	F2Z3P9	P63313	P67809
C9JU56	P67809	P60520	H3BR70
P02792	H3BR70	P11021	C9JU56
A0A0A0MR13	C9JU56	H7C4C5	P46782
Q02878	J3KSR4	Q9Y5U8	P13987
P30086	G5E9R0	J3QQ67	P02792
O95178	M0QX67	F2Z3P9	A0A0A0MR13
Q9UHP9	P46782	P67809	Q02878
P12883	P13987	H3BR70	F8VYN4
A0A087WTL3	P02792	P61586	P30086
P17568	A0A0A0MR13	C9JU56	O95178
P09382	Q02878	J3KSR4	Q9UHP9
Q99798	P30086	G5E9R0	P12883
Q05639	O95178	P51149	P08238
P01034	Q9UHP9	M0QX67	P17568
J3QRS3	P12883	P46782	P09382
P19105	P08238	A0A087X2E9	Q99798
