F_0	F_3	F_7
P62851	P62851	P62851
P18621	P18621	P18621
P13500	P17676	P02462
P02462	P02462	Q16270
Q16270	Q16270	P62857
P62857	P62857	P02461
P02461	P02461	P51884
P51884	P51884	P16035
P16035	P16035	Q9Y3U8
Q9Y3U8	Q9Y3U8	P27797
Q01995	P30101	Q01995
O43680	P27797	P10321
P08572	Q01995	P08572
P83110	P08572	P51888
P51888	P51888	P30050
P30050	P30050	P62913
P62913	P62913	Q96CG8
P62917	P11940	P62917
P62753	P62917	P62753
P62750	P10909	P62750
P24043	P62753	P35442
P35443	P62750	P35443
P00156	P35442	P00156
Q92743	P35443	Q92743
P36578	P00156	P63313
P63313	Q92743	P02792
P01100	P63313	Q15582
P02792	P02792	P00395
Q15582	P00395	P23396
Q9H0B8	P17275	P35268
P00395	P23396	P21810
P24592	P35268	P07858
P24593	P49207	O14558
P23396	P06454	P00403
P35268	P07858	O14604
P21810	P02545	O75293
P07858	P00403	P63244
P00403	P17813	P62987
O14604	Q15084	P07093
O75293	O14604	P18146
P63244	P63244	P27658
P62987	P62987	P08670
P07093	P07093	Q9BRK3
P18146	P18146	P49207
P08670	P08670	P12109
Q9BRK3	P03891	P62979
P49207	P12109	P39019
O14495	P03897	P05997
P12109	P62979	P03905
P03897	P39019	O14543
P62979	P05997	P07355
P05997	P03905	Q13361
P39023	O14543	P17275
O14543	P07355	P62280
P07355	Q13361	Q02543
Q13361	P21810	P00414
P17275	P62280	Q07507
P62280	Q02543	P49716
P03886	P03886	P29279
P00414	P00414	P12111
Q07507	P14618	P12110
P49716	P12111	P35625
P12111	P12110	P07996
P12110	P49716	Q76M96
P35625	P07996	P39023
Q76M96	P05121	P08253
P03905	Q76M96	P05155
P08253	P39023	Q99715
P03901	P08253	O75339
P05155	P09493	P28562
Q9Y287	P00736	P67936
P03891	P67936	P05412
P00736	P09382	P68104
P08962	P68104	Q8N474
P05412	Q8N474	P0CG47
P68104	P0CG47	P62888
P0CG47	P62888	P08493
P08493	P08493	P63220
P63220	P63220	P61927
P01019	Q96D15	Q96D15
P14543	P03915	Q9NQX7
P03915	Q15063	Q9Y287
P00846	P00846	P00846
P36955	P36955	P36955
P09486	P09486	P09486
P98095	P10451	P98095
Q5JWF2	P98095	P07585
P07585	P07585	P62266
P62266	P37802	P02751
P02751	P62266	Q06828
P61769	P02751	P08962
Q9UBG0	P08962	Q9UBG0
P62269	Q9UBG0	Q96HF1
P03923	P62269	O95460
P98160	P03923	P46783
P35555	P46783	P98160
P22105	P98160	P62829
Q92522	P62829	P09382
P09382	P05412	P23528
P28906	P23528	A6ZKI3
A6ZKI3	P23284	P61769
O00168	P61769	P62701
P11047	P07602	P24534
P62701	P62701	Q15113
Q15113	P24534	P43308
P43308	Q15113	Q02878
Q02878	P43308	P62269
Q14515	Q02878	P01036
P01036	P01033	P47914
P47974	P60842	P04216
P39059	P04216	P50914
P04216	P50914	P42677
Q9H3M7	P42677	P55001
P50914	P47914	Q71U36
P42677	Q71U36	P62736
P55001	P06733	P08123
P08123	P62736	P26641
P26641	P08123	P25398
P25398	Q96AY3	Q8IUX7
P46782	P26641	P46782
P46781	P25398	P46781
P26373	Q8IUX7	P26373
P00746	P46782	P36578
P34096	P46781	P01100
P60709	P26373	P60709
P50454	P36578	P50454
P62249	P01100	P62249
P13639	P60709	P13639
Q6UXB8	P50454	Q6UXB8
Q16610	P62249	Q16610
P12236	P13639	P12236
P42766	Q6UXB8	P42766
P46776	P12236	P46776
P07942	P42766	P15880
P15880	P46776	P20908
P20908	Q96HF1	Q5JWF2
P28562	P15880	Q9NR99
Q9UBX5	P20908	P18124
Q13228	P28562	P35555
P18124	P22692	Q9UI14
P62829	Q9NR99	P11021
P05452	P18124	P63261
Q9UI14	P35555	Q08397
P11021	Q9UI14	Q14515
P63261	P07437	P07737
	P11021	
	P63261	
	Q08397	
	P07737	
