Mo_0	Mo_3	Mo_7
P62851	P62851	P62851
P18621	P18621	P18621
P25398	P17676	P17676
P02462	P62857	P02462
Q16270	P16035	Q16270
P62857	Q9Y3U8	P62857
P02461	P55899	P02461
P28067	Q8IV08	Q9Y3U8
Q9Y3U8	P10321	P55899
P55899	Q9H4X1	P10321
P10321	P30050	P08572
P08572	P62913	P30050
P30050	P01906	P62913
P62913	P62917	P01906
P01906	P62753	P62917
P62917	P62750	P62753
P62753	P13284	P62750
P62750	P10124	P13284
P36578	P00338	P35443
P63313	Q14019	P00746
P25963	P25963	P63313
P02792	P02792	P25963
P00395	P04080	P02792
Q9UBR2	P00395	P04080
P23396	Q9UBR2	P00395
P35268	P23396	Q9UBR2
P49207	P35268	P23396
P06454	P27797	P35268
P07858	P49207	P06454
P07355	P06454	P07858
P21673	P07858	P21673
P62745	P84095	P62745
P00403	P21673	P00403
O14604	P62745	P17813
P63244	P00403	O14604
P62987	O14604	O75293
P18146	Q99538	P63244
P08670	P62987	P62987
O15143	P63244	P08670
O15144	P61626	O15143
P03891	P08670	O15144
P03897	O60234	P49207
P62979	O15143	P03897
P39019	O15144	P62979
P03905	P03891	P39019
O14543	P03897	P03905
P37802	P01584	O14543
P62280	P62979	P07355
Q02543	P39019	Q5JWF2
P03886	P39023	P62280
P00414	P07355	Q02543
P11940	P10145	P03886
P00156	Q5JWF2	P00414
P02747	P62280	P11940
P15328	P09668	P00156
Q07352	P03886	P02747
P30273	P00414	O00141
P39023	P17931	P15328
P17275	P14618	P39023
P62273	P11940	P17275
P03901	P00156	P62273
P13164	O00141	O60895
Q9Y287	P15328	P13164
P05412	P40121	P60842
P68104	P30273	Q9Y287
P0CG47	P03905	P03891
P62888	P17275	P05412
P63220	P03901	P68104
P61927	P60842	P0CG47
B6SEH9	Q9Y287	P62888
P03915	P01033	Q08116
P41220	P09382	P61927
Q14019	P68104	B6SEH9
P00846	Q02543	P03915
O00585	P0CG47	P63173
Q8WWP7	P63220	P01137
P09486	P61927	P00846
P10451	Q96C19	O00585
P07333	P03915	Q8WWP7
O00182	Q03405	P09486
P62266	P00846	P10451
P61769	P18669	P07333
P24534	Q8WWP7	P07339
P62269	P10451	P37802
P04899	P07333	P62266
P03923	P07339	P61769
P25774	P37802	P24534
P98160	P62266	P62269
P62829	P02751	P04899
Q92522	P61769	P03923
Q9H4X1	P62269	P25774
P23528	P04899	P98160
Q71U36	Q06830	P62829
P01903	P03923	Q9H4X1
P07602	P25774	P23528
P62701	P62829	P13236
P26641	P06744	P01903
Q13571	P05412	P07602
Q30154	P23528	P62701
P62324	P13236	Q13571
O43914	P01903	Q30154
P02746	P34810	P62324
P02745	P07602	O43914
Q02878	P62701	P02746
P08962	Q13571	P02745
P27449	P53634	Q02878
P01036	P11279	P08962
P47974	Q30154	P27449
Q9H3M7	O43914	P01036
P50914	Q02878	P47974
P42677	P08962	P02649
P47914	P27449	P50914
P13236	P01036	P42677
Q9NUV9	P02649	P47914
Q9BTL4	P50914	Q71U36
P28068	P42677	Q9BTL4
P61513	P47914	P61513
P60660	Q71U36	P08123
Q5JWF2	P06733	P60660
P04792	P14174	P26641
P17676	P13686	P04792
P46783	P60660	P25398
P46782	P26641	P46783
P46781	P25398	P46782
P26373	P46783	P46781
O75807	P46782	P26373
P00746	P46781	P36578
P01100	P26373	P01100
P60709	P36578	P60709
P50454	P01100	P50454
P62249	P60709	P62249
P13639	P62249	P13639
Q08116	P13639	P63220
P12236	Q08116	P12236
P42766	P12236	P42766
P46776	P42766	P46776
Q01151	P46776	Q01151
P15880	Q96CW1	P15880
P28562	P15880	P28562
P18124	P28562	P09668
P54368	P18124	P18124
P18848	P28799	P54368
P63261	P63313	P18848
P18847	P54368	P63261
P07737	P07437	P07737
	P11021	
	P63261	
	P13796	
	P07737	
